Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (27748 already done, 22252 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (7748 done, 2252 remaining) ---
[27749/50000] 2026-06-28 11:55:57 | R3 | railroadcar/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[34905/50000] 2026-06-28 13:22:30 | R4 | hanoi/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[34906/50000] 2026-06-28 13:22:31 | R4 | hanoi/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[34907/50000] 2026-06-28 13:22:31 | R4 | hanoi/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[34908/50000] 2026-06-28 13:22:32 | R4 | hanoi/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[34909/50000] 2026-06-28 13:22:33 | R4 | hanoi/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[34910/50000] 2026-06-28 13:22:33 | R4 | hanoi/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[34911/50000] 2026-06-28 13:22:34 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[34912/50000] 2026-06-28 13:22:35 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[34913/50000] 2026-06-28 13:22:36 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[34914/50000] 2026-06-28 13:22:36 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[34915/50000] 2026-06-28 13:22:37 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[34916/50000] 2026-06-28 13:22:38 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[34917/50000] 2026-06-28 13:22:39 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[34918/50000] 2026-06-28 13:22:39 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[34919/50000] 2026-06-28 13:22:40 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[34920/50000] 2026-06-28 13:22:41 | R4 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[34921/50000] 2026-06-28 13:22:41 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/0_orig → NON-CLONE
[34922/50000] 2026-06-28 13:22:42 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/1_artifice → NON-CLONE
[34923/50000] 2026-06-28 13:22:42 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[34924/50000] 2026-06-28 13:22:43 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[34925/50000] 2026-06-28 13:22:44 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[34926/50000] 2026-06-28 13:22:44 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[34927/50000] 2026-06-28 13:22:45 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[34928/50000] 2026-06-28 13:22:45 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[34929/50000] 2026-06-28 13:22:46 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[34930/50000] 2026-06-28 13:22:47 | R4 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[34931/50000] 2026-06-28 13:22:47 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/0_orig → NON-CLONE
[34932/50000] 2026-06-28 13:22:48 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/1_artifice → NON-CLONE
[34933/50000] 2026-06-28 13:22:49 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[34934/50000] 2026-06-28 13:22:49 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[34935/50000] 2026-06-28 13:22:50 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[34936/50000] 2026-06-28 13:22:51 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[34937/50000] 2026-06-28 13:22:51 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[34938/50000] 2026-06-28 13:22:52 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[34939/50000] 2026-06-28 13:22:53 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[34940/50000] 2026-06-28 13:22:53 | R4 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[34941/50000] 2026-06-28 13:22:54 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/0_orig → CLONE
[34942/50000] 2026-06-28 13:22:55 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/1_artifice → CLONE
[34943/50000] 2026-06-28 13:22:55 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_no_krakatau → CLONE
[34944/50000] 2026-06-28 13:22:56 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_no_procyon → CLONE
[34945/50000] 2026-06-28 13:22:57 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_pg_krakatau → CLONE
[34946/50000] 2026-06-28 13:22:57 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_pg_procyon → CLONE
[34947/50000] 2026-06-28 13:22:58 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_krakatau → CLONE
[34948/50000] 2026-06-28 13:22:59 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_procyon → CLONE
[34949/50000] 2026-06-28 13:23:00 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → CLONE
[34950/50000] 2026-06-28 13:23:00 | R4 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_procyon → CLONE
[34951/50000] 2026-06-28 13:23:01 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/0_orig → NON-CLONE
[34952/50000] 2026-06-28 13:23:02 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/1_artifice → NON-CLONE
[34953/50000] 2026-06-28 13:23:02 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[34954/50000] 2026-06-28 13:23:03 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[34955/50000] 2026-06-28 13:23:04 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[34956/50000] 2026-06-28 13:23:04 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[34957/50000] 2026-06-28 13:23:05 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[34958/50000] 2026-06-28 13:23:06 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[34959/50000] 2026-06-28 13:23:06 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[34960/50000] 2026-06-28 13:23:07 | R4 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[34961/50000] 2026-06-28 13:23:08 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/0_orig → NON-CLONE
[34962/50000] 2026-06-28 13:23:08 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/1_artifice → NON-CLONE
[34963/50000] 2026-06-28 13:23:09 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[34964/50000] 2026-06-28 13:23:09 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[34965/50000] 2026-06-28 13:23:10 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[34966/50000] 2026-06-28 13:23:11 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[34967/50000] 2026-06-28 13:23:11 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[34968/50000] 2026-06-28 13:23:12 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[34969/50000] 2026-06-28 13:23:12 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[34970/50000] 2026-06-28 13:23:13 | R4 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[34971/50000] 2026-06-28 13:23:14 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/0_orig → NON-CLONE
[34972/50000] 2026-06-28 13:23:14 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/1_artifice → NON-CLONE
[34973/50000] 2026-06-28 13:23:15 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[34974/50000] 2026-06-28 13:23:16 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[34975/50000] 2026-06-28 13:23:16 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[34976/50000] 2026-06-28 13:23:17 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[34977/50000] 2026-06-28 13:23:17 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[34978/50000] 2026-06-28 13:23:18 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[34979/50000] 2026-06-28 13:23:19 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[34980/50000] 2026-06-28 13:23:19 | R4 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[34981/50000] 2026-06-28 13:23:20 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/0_orig → NON-CLONE
[34982/50000] 2026-06-28 13:23:21 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/1_artifice → NON-CLONE
[34983/50000] 2026-06-28 13:23:21 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[34984/50000] 2026-06-28 13:23:22 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[34985/50000] 2026-06-28 13:23:23 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[34986/50000] 2026-06-28 13:23:23 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[34987/50000] 2026-06-28 13:23:24 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[34988/50000] 2026-06-28 13:23:25 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[34989/50000] 2026-06-28 13:23:25 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[34990/50000] 2026-06-28 13:23:26 | R4 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[34991/50000] 2026-06-28 13:23:26 | R4 | hanoi/test_1_artifice_pg_procyon vs square/0_orig → NON-CLONE
[34992/50000] 2026-06-28 13:23:27 | R4 | hanoi/test_1_artifice_pg_procyon vs square/1_artifice → NON-CLONE
[34993/50000] 2026-06-28 13:23:28 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[34994/50000] 2026-06-28 13:23:29 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[34995/50000] 2026-06-28 13:23:29 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[34996/50000] 2026-06-28 13:23:30 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[34997/50000] 2026-06-28 13:23:31 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[34998/50000] 2026-06-28 13:23:31 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[34999/50000] 2026-06-28 13:23:32 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[35000/50000] 2026-06-28 13:23:33 | R4 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[35001/50000] 2026-06-28 13:23:34 | R4 | kaprekar/0_orig vs InfixConverter/0_orig → NON-CLONE
[35002/50000] 2026-06-28 13:23:34 | R4 | kaprekar/0_orig vs InfixConverter/1_artifice → NON-CLONE
[35003/50000] 2026-06-28 13:23:35 | R4 | kaprekar/0_orig vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[35004/50000] 2026-06-28 13:23:36 | R4 | kaprekar/0_orig vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[35005/50000] 2026-06-28 13:23:37 | R4 | kaprekar/0_orig vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[35006/50000] 2026-06-28 13:23:37 | R4 | kaprekar/0_orig vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[35007/50000] 2026-06-28 13:23:38 | R4 | kaprekar/0_orig vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[35008/50000] 2026-06-28 13:23:39 | R4 | kaprekar/0_orig vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[35009/50000] 2026-06-28 13:23:40 | R4 | kaprekar/0_orig vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[35010/50000] 2026-06-28 13:23:40 | R4 | kaprekar/0_orig vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[35011/50000] 2026-06-28 13:23:41 | R4 | kaprekar/0_orig vs SqrtAlgorithm/0_orig → NON-CLONE
[35012/50000] 2026-06-28 13:23:42 | R4 | kaprekar/0_orig vs SqrtAlgorithm/1_artifice → NON-CLONE
[35013/50000] 2026-06-28 13:23:43 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[35014/50000] 2026-06-28 13:23:43 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[35015/50000] 2026-06-28 13:23:44 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[35016/50000] 2026-06-28 13:23:45 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[35017/50000] 2026-06-28 13:23:46 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[35018/50000] 2026-06-28 13:23:46 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[35019/50000] 2026-06-28 13:23:47 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[35020/50000] 2026-06-28 13:23:48 | R4 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[35021/50000] 2026-06-28 13:23:49 | R4 | kaprekar/0_orig vs bubblesort/0_orig → NON-CLONE
[35022/50000] 2026-06-28 13:23:49 | R4 | kaprekar/0_orig vs bubblesort/1_artifice → NON-CLONE
[35023/50000] 2026-06-28 13:23:50 | R4 | kaprekar/0_orig vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[35024/50000] 2026-06-28 13:23:50 | R4 | kaprekar/0_orig vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[35025/50000] 2026-06-28 13:23:51 | R4 | kaprekar/0_orig vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[35026/50000] 2026-06-28 13:23:52 | R4 | kaprekar/0_orig vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[35027/50000] 2026-06-28 13:23:52 | R4 | kaprekar/0_orig vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[35028/50000] 2026-06-28 13:23:53 | R4 | kaprekar/0_orig vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[35029/50000] 2026-06-28 13:23:54 | R4 | kaprekar/0_orig vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[35030/50000] 2026-06-28 13:23:54 | R4 | kaprekar/0_orig vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[35031/50000] 2026-06-28 13:23:55 | R4 | kaprekar/0_orig vs guessword/0_orig → NON-CLONE
[35032/50000] 2026-06-28 13:23:56 | R4 | kaprekar/0_orig vs guessword/1_artifice → NON-CLONE
[35033/50000] 2026-06-28 13:23:56 | R4 | kaprekar/0_orig vs guessword/test_0_orig_no_krakatau → NON-CLONE
[35034/50000] 2026-06-28 13:23:57 | R4 | kaprekar/0_orig vs guessword/test_0_orig_no_procyon → NON-CLONE
[35035/50000] 2026-06-28 13:23:58 | R4 | kaprekar/0_orig vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[35036/50000] 2026-06-28 13:23:59 | R4 | kaprekar/0_orig vs guessword/test_0_orig_pg_procyon → NON-CLONE
[35037/50000] 2026-06-28 13:23:59 | R4 | kaprekar/0_orig vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[35038/50000] 2026-06-28 13:24:00 | R4 | kaprekar/0_orig vs guessword/test_1_artifice_no_procyon → NON-CLONE
[35039/50000] 2026-06-28 13:24:01 | R4 | kaprekar/0_orig vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[35040/50000] 2026-06-28 13:24:01 | R4 | kaprekar/0_orig vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[35041/50000] 2026-06-28 13:24:02 | R4 | kaprekar/0_orig vs hanoi/0_orig → NON-CLONE
[35042/50000] 2026-06-28 13:24:03 | R4 | kaprekar/0_orig vs hanoi/1_artifice → NON-CLONE
[35043/50000] 2026-06-28 13:24:04 | R4 | kaprekar/0_orig vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[35044/50000] 2026-06-28 13:24:04 | R4 | kaprekar/0_orig vs hanoi/test_0_orig_no_procyon → NON-CLONE
[35045/50000] 2026-06-28 13:24:05 | R4 | kaprekar/0_orig vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[35046/50000] 2026-06-28 13:24:06 | R4 | kaprekar/0_orig vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[35047/50000] 2026-06-28 13:24:07 | R4 | kaprekar/0_orig vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[35048/50000] 2026-06-28 13:24:07 | R4 | kaprekar/0_orig vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[35049/50000] 2026-06-28 13:24:08 | R4 | kaprekar/0_orig vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[35050/50000] 2026-06-28 13:24:09 | R4 | kaprekar/0_orig vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[35051/50000] 2026-06-28 13:24:09 | R4 | kaprekar/0_orig vs kaprekar/0_orig → CLONE
[35052/50000] 2026-06-28 13:24:10 | R4 | kaprekar/0_orig vs kaprekar/1_artifice → CLONE
[35053/50000] 2026-06-28 13:24:11 | R4 | kaprekar/0_orig vs kaprekar/test_0_orig_no_krakatau → CLONE
[35054/50000] 2026-06-28 13:24:12 | R4 | kaprekar/0_orig vs kaprekar/test_0_orig_no_procyon → CLONE
[35055/50000] 2026-06-28 13:24:13 | R4 | kaprekar/0_orig vs kaprekar/test_0_orig_pg_krakatau → CLONE
[35056/50000] 2026-06-28 13:24:14 | R4 | kaprekar/0_orig vs kaprekar/test_0_orig_pg_procyon → CLONE
[35057/50000] 2026-06-28 13:24:14 | R4 | kaprekar/0_orig vs kaprekar/test_1_artifice_no_krakatau → CLONE
[35058/50000] 2026-06-28 13:24:15 | R4 | kaprekar/0_orig vs kaprekar/test_1_artifice_no_procyon → CLONE
[35059/50000] 2026-06-28 13:24:16 | R4 | kaprekar/0_orig vs kaprekar/test_1_artifice_pg_krakatau → CLONE
[35060/50000] 2026-06-28 13:24:17 | R4 | kaprekar/0_orig vs kaprekar/test_1_artifice_pg_procyon → CLONE
[35061/50000] 2026-06-28 13:24:18 | R4 | kaprekar/0_orig vs queens/0_orig → NON-CLONE
[35062/50000] 2026-06-28 13:24:18 | R4 | kaprekar/0_orig vs queens/1_artifice → NON-CLONE
[35063/50000] 2026-06-28 13:24:19 | R4 | kaprekar/0_orig vs queens/test_0_orig_no_krakatau → NON-CLONE
[35064/50000] 2026-06-28 13:24:20 | R4 | kaprekar/0_orig vs queens/test_0_orig_no_procyon → NON-CLONE
[35065/50000] 2026-06-28 13:24:20 | R4 | kaprekar/0_orig vs queens/test_0_orig_pg_krakatau → NON-CLONE
[35066/50000] 2026-06-28 13:24:21 | R4 | kaprekar/0_orig vs queens/test_0_orig_pg_procyon → NON-CLONE
[35067/50000] 2026-06-28 13:24:22 | R4 | kaprekar/0_orig vs queens/test_1_artifice_no_krakatau → NON-CLONE
[35068/50000] 2026-06-28 13:24:22 | R4 | kaprekar/0_orig vs queens/test_1_artifice_no_procyon → NON-CLONE
[35069/50000] 2026-06-28 13:24:23 | R4 | kaprekar/0_orig vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[35070/50000] 2026-06-28 13:24:24 | R4 | kaprekar/0_orig vs queens/test_1_artifice_pg_procyon → NON-CLONE
[35071/50000] 2026-06-28 13:24:24 | R4 | kaprekar/0_orig vs railroadcar/0_orig → NON-CLONE
[35072/50000] 2026-06-28 13:24:25 | R4 | kaprekar/0_orig vs railroadcar/1_artifice → NON-CLONE
[35073/50000] 2026-06-28 13:24:26 | R4 | kaprekar/0_orig vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[35074/50000] 2026-06-28 13:24:27 | R4 | kaprekar/0_orig vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[35075/50000] 2026-06-28 13:24:27 | R4 | kaprekar/0_orig vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[35076/50000] 2026-06-28 13:24:28 | R4 | kaprekar/0_orig vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[35077/50000] 2026-06-28 13:24:29 | R4 | kaprekar/0_orig vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[35078/50000] 2026-06-28 13:24:29 | R4 | kaprekar/0_orig vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[35079/50000] 2026-06-28 13:24:30 | R4 | kaprekar/0_orig vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[35080/50000] 2026-06-28 13:24:30 | R4 | kaprekar/0_orig vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[35081/50000] 2026-06-28 13:24:31 | R4 | kaprekar/0_orig vs slinkedlist/0_orig → NON-CLONE
[35082/50000] 2026-06-28 13:24:32 | R4 | kaprekar/0_orig vs slinkedlist/1_artifice → NON-CLONE
[35083/50000] 2026-06-28 13:24:33 | R4 | kaprekar/0_orig vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[35084/50000] 2026-06-28 13:24:33 | R4 | kaprekar/0_orig vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[35085/50000] 2026-06-28 13:24:34 | R4 | kaprekar/0_orig vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[35086/50000] 2026-06-28 13:24:35 | R4 | kaprekar/0_orig vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[35087/50000] 2026-06-28 13:24:35 | R4 | kaprekar/0_orig vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[35088/50000] 2026-06-28 13:24:36 | R4 | kaprekar/0_orig vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[35089/50000] 2026-06-28 13:24:37 | R4 | kaprekar/0_orig vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[35090/50000] 2026-06-28 13:24:38 | R4 | kaprekar/0_orig vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[35091/50000] 2026-06-28 13:24:38 | R4 | kaprekar/0_orig vs square/0_orig → NON-CLONE
[35092/50000] 2026-06-28 13:24:39 | R4 | kaprekar/0_orig vs square/1_artifice → NON-CLONE
[35093/50000] 2026-06-28 13:24:40 | R4 | kaprekar/0_orig vs square/test_0_orig_no_krakatau → NON-CLONE
[35094/50000] 2026-06-28 13:24:41 | R4 | kaprekar/0_orig vs square/test_0_orig_no_procyon → NON-CLONE
[35095/50000] 2026-06-28 13:24:41 | R4 | kaprekar/0_orig vs square/test_0_orig_pg_krakatau → NON-CLONE
[35096/50000] 2026-06-28 13:24:42 | R4 | kaprekar/0_orig vs square/test_0_orig_pg_procyon → NON-CLONE
[35097/50000] 2026-06-28 13:24:43 | R4 | kaprekar/0_orig vs square/test_1_artifice_no_krakatau → NON-CLONE
[35098/50000] 2026-06-28 13:24:44 | R4 | kaprekar/0_orig vs square/test_1_artifice_no_procyon → NON-CLONE
[35099/50000] 2026-06-28 13:24:45 | R4 | kaprekar/0_orig vs square/test_1_artifice_pg_krakatau → NON-CLONE
[35100/50000] 2026-06-28 13:24:45 | R4 | kaprekar/0_orig vs square/test_1_artifice_pg_procyon → NON-CLONE
[35101/50000] 2026-06-28 13:24:46 | R4 | kaprekar/1_artifice vs InfixConverter/0_orig → NON-CLONE
[35102/50000] 2026-06-28 13:24:47 | R4 | kaprekar/1_artifice vs InfixConverter/1_artifice → NON-CLONE
