Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (21438 already done, 28562 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (1438 done, 8562 remaining) ---
[21439/50000] 2026-06-23 05:53:20 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[24493/50000] 2026-06-23 07:49:14 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[24494/50000] 2026-06-23 07:49:16 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[24495/50000] 2026-06-23 07:49:18 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[24496/50000] 2026-06-23 07:49:20 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[24497/50000] 2026-06-23 07:49:22 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[24498/50000] 2026-06-23 07:49:24 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[24499/50000] 2026-06-23 07:49:26 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[24500/50000] 2026-06-23 07:49:28 | R3 | hanoi/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[24501/50000] 2026-06-23 07:49:30 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/0_orig → NON-CLONE
[24502/50000] 2026-06-23 07:49:32 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/1_artifice → NON-CLONE
[24503/50000] 2026-06-23 07:49:34 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[24504/50000] 2026-06-23 07:49:36 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[24505/50000] 2026-06-23 07:49:37 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[24506/50000] 2026-06-23 07:49:39 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[24507/50000] 2026-06-23 07:49:40 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[24508/50000] 2026-06-23 07:49:42 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[24509/50000] 2026-06-23 07:49:44 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[24510/50000] 2026-06-23 07:49:46 | R3 | hanoi/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[24511/50000] 2026-06-23 07:49:48 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[24512/50000] 2026-06-23 07:49:49 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[24513/50000] 2026-06-23 07:49:51 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[24514/50000] 2026-06-23 07:49:53 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[24515/50000] 2026-06-23 07:49:55 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[24516/50000] 2026-06-23 07:49:57 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[24517/50000] 2026-06-23 07:49:59 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[24518/50000] 2026-06-23 07:50:01 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[24519/50000] 2026-06-23 07:50:03 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[24520/50000] 2026-06-23 07:50:05 | R3 | hanoi/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[24521/50000] 2026-06-23 07:50:07 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/0_orig → NON-CLONE
[24522/50000] 2026-06-23 07:50:08 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/1_artifice → NON-CLONE
[24523/50000] 2026-06-23 07:50:10 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[24524/50000] 2026-06-23 07:50:11 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[24525/50000] 2026-06-23 07:50:13 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[24526/50000] 2026-06-23 07:50:15 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[24527/50000] 2026-06-23 07:50:17 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[24528/50000] 2026-06-23 07:50:19 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[24529/50000] 2026-06-23 07:50:21 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[24530/50000] 2026-06-23 07:50:22 | R3 | hanoi/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[24531/50000] 2026-06-23 07:50:24 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/0_orig → NON-CLONE
[24532/50000] 2026-06-23 07:50:26 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/1_artifice → NON-CLONE
[24533/50000] 2026-06-23 07:50:28 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[24534/50000] 2026-06-23 07:50:30 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[24535/50000] 2026-06-23 07:50:31 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[24536/50000] 2026-06-23 07:50:33 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[24537/50000] 2026-06-23 07:50:35 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[24538/50000] 2026-06-23 07:50:37 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[24539/50000] 2026-06-23 07:50:39 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[24540/50000] 2026-06-23 07:50:41 | R3 | hanoi/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[24541/50000] 2026-06-23 07:50:43 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/0_orig → CLONE
[24542/50000] 2026-06-23 07:50:45 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/1_artifice → CLONE
[24543/50000] 2026-06-23 07:50:46 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_krakatau → CLONE
[24544/50000] 2026-06-23 07:50:47 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_procyon → CLONE
[24545/50000] 2026-06-23 07:50:50 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_krakatau → CLONE
[24546/50000] 2026-06-23 07:50:52 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_procyon → CLONE
[24547/50000] 2026-06-23 07:50:53 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_krakatau → CLONE
[24548/50000] 2026-06-23 07:50:55 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_procyon → CLONE
[24549/50000] 2026-06-23 07:50:57 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → CLONE
[24550/50000] 2026-06-23 07:50:59 | R3 | hanoi/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_procyon → CLONE
[24551/50000] 2026-06-23 07:51:01 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/0_orig → NON-CLONE
[24552/50000] 2026-06-23 07:51:03 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/1_artifice → NON-CLONE
[24553/50000] 2026-06-23 07:51:06 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[24554/50000] 2026-06-23 07:51:08 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[24555/50000] 2026-06-23 07:51:10 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[24556/50000] 2026-06-23 07:51:12 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[24557/50000] 2026-06-23 07:51:13 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[24558/50000] 2026-06-23 07:51:16 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[24559/50000] 2026-06-23 07:51:18 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[24560/50000] 2026-06-23 07:51:20 | R3 | hanoi/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[24561/50000] 2026-06-23 07:51:22 | R3 | hanoi/test_0_orig_pg_procyon vs queens/0_orig → NON-CLONE
[24562/50000] 2026-06-23 07:51:24 | R3 | hanoi/test_0_orig_pg_procyon vs queens/1_artifice → NON-CLONE
[24563/50000] 2026-06-23 07:51:26 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[24564/50000] 2026-06-23 07:51:28 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[24565/50000] 2026-06-23 07:51:30 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[24566/50000] 2026-06-23 07:51:32 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[24567/50000] 2026-06-23 07:51:34 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[24568/50000] 2026-06-23 07:51:36 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[24569/50000] 2026-06-23 07:51:38 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[24570/50000] 2026-06-23 07:51:40 | R3 | hanoi/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[24571/50000] 2026-06-23 07:51:41 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/0_orig → NON-CLONE
[24572/50000] 2026-06-23 07:51:43 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/1_artifice → NON-CLONE
[24573/50000] 2026-06-23 07:51:45 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[24574/50000] 2026-06-23 07:51:47 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[24575/50000] 2026-06-23 07:51:49 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[24576/50000] 2026-06-23 07:51:50 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[24577/50000] 2026-06-23 07:51:51 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[24578/50000] 2026-06-23 07:51:53 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[24579/50000] 2026-06-23 07:51:54 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[24580/50000] 2026-06-23 07:51:56 | R3 | hanoi/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[24581/50000] 2026-06-23 07:51:58 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/0_orig → NON-CLONE
[24582/50000] 2026-06-23 07:52:00 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/1_artifice → NON-CLONE
[24583/50000] 2026-06-23 07:52:02 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[24584/50000] 2026-06-23 07:52:03 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[24585/50000] 2026-06-23 07:52:05 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[24586/50000] 2026-06-23 07:52:06 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[24587/50000] 2026-06-23 07:52:08 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[24588/50000] 2026-06-23 07:52:10 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[24589/50000] 2026-06-23 07:52:11 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[24590/50000] 2026-06-23 07:52:13 | R3 | hanoi/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[24591/50000] 2026-06-23 07:52:15 | R3 | hanoi/test_0_orig_pg_procyon vs square/0_orig → NON-CLONE
[24592/50000] 2026-06-23 07:52:17 | R3 | hanoi/test_0_orig_pg_procyon vs square/1_artifice → NON-CLONE
[24593/50000] 2026-06-23 07:52:18 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[24594/50000] 2026-06-23 07:52:20 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[24595/50000] 2026-06-23 07:52:22 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[24596/50000] 2026-06-23 07:52:24 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[24597/50000] 2026-06-23 07:52:25 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[24598/50000] 2026-06-23 07:52:27 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[24599/50000] 2026-06-23 07:52:29 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[24600/50000] 2026-06-23 07:52:31 | R3 | hanoi/test_0_orig_pg_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[24601/50000] 2026-06-23 07:52:33 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/0_orig → NON-CLONE
[24602/50000] 2026-06-23 07:52:36 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/1_artifice → NON-CLONE
[24603/50000] 2026-06-23 07:52:38 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[24604/50000] 2026-06-23 07:52:40 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[24605/50000] 2026-06-23 07:52:42 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[24606/50000] 2026-06-23 07:52:45 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[24607/50000] 2026-06-23 07:52:47 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[24608/50000] 2026-06-23 07:52:48 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[24609/50000] 2026-06-23 07:52:50 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[24610/50000] 2026-06-23 07:52:51 | R3 | hanoi/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[24611/50000] 2026-06-23 07:52:53 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[24612/50000] 2026-06-23 07:52:55 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[24613/50000] 2026-06-23 07:52:57 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[24614/50000] 2026-06-23 07:52:58 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[24615/50000] 2026-06-23 07:53:01 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[24616/50000] 2026-06-23 07:53:02 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[24617/50000] 2026-06-23 07:53:04 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[24618/50000] 2026-06-23 07:53:06 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[24619/50000] 2026-06-23 07:53:08 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[24620/50000] 2026-06-23 07:53:10 | R3 | hanoi/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[24621/50000] 2026-06-23 07:53:12 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/0_orig → NON-CLONE
[24622/50000] 2026-06-23 07:53:14 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/1_artifice → NON-CLONE
[24623/50000] 2026-06-23 07:53:15 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[24624/50000] 2026-06-23 07:53:16 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[24625/50000] 2026-06-23 07:53:18 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[24626/50000] 2026-06-23 07:53:20 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[24627/50000] 2026-06-23 07:53:22 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[24628/50000] 2026-06-23 07:53:23 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[24629/50000] 2026-06-23 07:53:25 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[24630/50000] 2026-06-23 07:53:27 | R3 | hanoi/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[24631/50000] 2026-06-23 07:53:29 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/0_orig → NON-CLONE
[24632/50000] 2026-06-23 07:53:30 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/1_artifice → NON-CLONE
[24633/50000] 2026-06-23 07:53:32 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[24634/50000] 2026-06-23 07:53:34 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[24635/50000] 2026-06-23 07:53:36 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[24636/50000] 2026-06-23 07:53:37 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[24637/50000] 2026-06-23 07:53:39 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[24638/50000] 2026-06-23 07:53:41 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[24639/50000] 2026-06-23 07:53:43 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[24640/50000] 2026-06-23 07:53:45 | R3 | hanoi/test_1_artifice_no_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[24641/50000] 2026-06-23 07:53:47 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/0_orig → CLONE
[24642/50000] 2026-06-23 07:53:49 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/1_artifice → CLONE
[24643/50000] 2026-06-23 07:53:51 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_0_orig_no_krakatau → CLONE
[24644/50000] 2026-06-23 07:53:52 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_0_orig_no_procyon → CLONE
[24645/50000] 2026-06-23 07:53:54 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_0_orig_pg_krakatau → CLONE
[24646/50000] 2026-06-23 07:53:56 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_0_orig_pg_procyon → CLONE
[24647/50000] 2026-06-23 07:53:57 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_no_krakatau → CLONE
[24648/50000] 2026-06-23 07:53:59 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_no_procyon → CLONE
[24649/50000] 2026-06-23 07:54:00 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_pg_krakatau → CLONE
[24650/50000] 2026-06-23 07:54:02 | R3 | hanoi/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_pg_procyon → CLONE
[24651/50000] 2026-06-23 07:54:04 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/0_orig → NON-CLONE
[24652/50000] 2026-06-23 07:54:06 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/1_artifice → NON-CLONE
[24653/50000] 2026-06-23 07:54:07 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[24654/50000] 2026-06-23 07:54:10 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[24655/50000] 2026-06-23 07:54:11 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[24656/50000] 2026-06-23 07:54:13 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[24657/50000] 2026-06-23 07:54:15 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[24658/50000] 2026-06-23 07:54:16 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[24659/50000] 2026-06-23 07:54:18 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[24660/50000] 2026-06-23 07:54:20 | R3 | hanoi/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[24661/50000] 2026-06-23 07:54:23 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/0_orig → NON-CLONE
[24662/50000] 2026-06-23 07:54:24 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/1_artifice → NON-CLONE
[24663/50000] 2026-06-23 07:54:26 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[24664/50000] 2026-06-23 07:54:28 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[24665/50000] 2026-06-23 07:54:29 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[24666/50000] 2026-06-23 07:54:32 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[24667/50000] 2026-06-23 07:54:33 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[24668/50000] 2026-06-23 07:54:35 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[24669/50000] 2026-06-23 07:54:37 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[24670/50000] 2026-06-23 07:54:39 | R3 | hanoi/test_1_artifice_no_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[24671/50000] 2026-06-23 07:54:41 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/0_orig → NON-CLONE
[24672/50000] 2026-06-23 07:54:42 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/1_artifice → NON-CLONE
[24673/50000] 2026-06-23 07:54:44 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[24674/50000] 2026-06-23 07:54:45 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[24675/50000] 2026-06-23 07:54:48 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[24676/50000] 2026-06-23 07:54:49 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[24677/50000] 2026-06-23 07:54:50 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[24678/50000] 2026-06-23 07:54:52 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[24679/50000] 2026-06-23 07:54:54 | R3 | hanoi/test_1_artifice_no_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
