Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (32457 already done, 17543 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5: already complete, skipping ---
--- Round 4/5 (2457 done, 7543 remaining) ---
[32458/50000] 2026-06-28 16:29:01 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[37148/50000] 2026-06-28 17:18:14 | R4 | railroadcar/1_artifice vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[37149/50000] 2026-06-28 17:18:15 | R4 | railroadcar/1_artifice vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[37150/50000] 2026-06-28 17:18:15 | R4 | railroadcar/1_artifice vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[37151/50000] 2026-06-28 17:18:16 | R4 | railroadcar/1_artifice vs kaprekar/0_orig → NON-CLONE
[37152/50000] 2026-06-28 17:18:16 | R4 | railroadcar/1_artifice vs kaprekar/1_artifice → NON-CLONE
[37153/50000] 2026-06-28 17:18:17 | R4 | railroadcar/1_artifice vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[37154/50000] 2026-06-28 17:18:17 | R4 | railroadcar/1_artifice vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[37155/50000] 2026-06-28 17:18:18 | R4 | railroadcar/1_artifice vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[37156/50000] 2026-06-28 17:18:18 | R4 | railroadcar/1_artifice vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[37157/50000] 2026-06-28 17:18:19 | R4 | railroadcar/1_artifice vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[37158/50000] 2026-06-28 17:18:20 | R4 | railroadcar/1_artifice vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[37159/50000] 2026-06-28 17:18:20 | R4 | railroadcar/1_artifice vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[37160/50000] 2026-06-28 17:18:21 | R4 | railroadcar/1_artifice vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[37161/50000] 2026-06-28 17:18:21 | R4 | railroadcar/1_artifice vs queens/0_orig → NON-CLONE
[37162/50000] 2026-06-28 17:18:22 | R4 | railroadcar/1_artifice vs queens/1_artifice → NON-CLONE
[37163/50000] 2026-06-28 17:18:22 | R4 | railroadcar/1_artifice vs queens/test_0_orig_no_krakatau → NON-CLONE
[37164/50000] 2026-06-28 17:18:23 | R4 | railroadcar/1_artifice vs queens/test_0_orig_no_procyon → NON-CLONE
[37165/50000] 2026-06-28 17:18:23 | R4 | railroadcar/1_artifice vs queens/test_0_orig_pg_krakatau → NON-CLONE
[37166/50000] 2026-06-28 17:18:24 | R4 | railroadcar/1_artifice vs queens/test_0_orig_pg_procyon → NON-CLONE
[37167/50000] 2026-06-28 17:18:24 | R4 | railroadcar/1_artifice vs queens/test_1_artifice_no_krakatau → NON-CLONE
[37168/50000] 2026-06-28 17:18:25 | R4 | railroadcar/1_artifice vs queens/test_1_artifice_no_procyon → NON-CLONE
[37169/50000] 2026-06-28 17:18:25 | R4 | railroadcar/1_artifice vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[37170/50000] 2026-06-28 17:18:26 | R4 | railroadcar/1_artifice vs queens/test_1_artifice_pg_procyon → NON-CLONE
[37171/50000] 2026-06-28 17:18:26 | R4 | railroadcar/1_artifice vs railroadcar/0_orig → CLONE
[37172/50000] 2026-06-28 17:18:27 | R4 | railroadcar/1_artifice vs railroadcar/1_artifice → CLONE
[37173/50000] 2026-06-28 17:18:27 | R4 | railroadcar/1_artifice vs railroadcar/test_0_orig_no_krakatau → CLONE
[37174/50000] 2026-06-28 17:18:28 | R4 | railroadcar/1_artifice vs railroadcar/test_0_orig_no_procyon → CLONE
[37175/50000] 2026-06-28 17:18:28 | R4 | railroadcar/1_artifice vs railroadcar/test_0_orig_pg_krakatau → CLONE
[37176/50000] 2026-06-28 17:18:29 | R4 | railroadcar/1_artifice vs railroadcar/test_0_orig_pg_procyon → CLONE
[37177/50000] 2026-06-28 17:18:30 | R4 | railroadcar/1_artifice vs railroadcar/test_1_artifice_no_krakatau → CLONE
[37178/50000] 2026-06-28 17:18:30 | R4 | railroadcar/1_artifice vs railroadcar/test_1_artifice_no_procyon → CLONE
[37179/50000] 2026-06-28 17:18:31 | R4 | railroadcar/1_artifice vs railroadcar/test_1_artifice_pg_krakatau → CLONE
[37180/50000] 2026-06-28 17:18:31 | R4 | railroadcar/1_artifice vs railroadcar/test_1_artifice_pg_procyon → CLONE
[37181/50000] 2026-06-28 17:18:32 | R4 | railroadcar/1_artifice vs slinkedlist/0_orig → NON-CLONE
[37182/50000] 2026-06-28 17:18:32 | R4 | railroadcar/1_artifice vs slinkedlist/1_artifice → NON-CLONE
[37183/50000] 2026-06-28 17:18:33 | R4 | railroadcar/1_artifice vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[37184/50000] 2026-06-28 17:18:34 | R4 | railroadcar/1_artifice vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[37185/50000] 2026-06-28 17:18:34 | R4 | railroadcar/1_artifice vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[37186/50000] 2026-06-28 17:18:35 | R4 | railroadcar/1_artifice vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[37187/50000] 2026-06-28 17:18:35 | R4 | railroadcar/1_artifice vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[37188/50000] 2026-06-28 17:18:36 | R4 | railroadcar/1_artifice vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[37189/50000] 2026-06-28 17:18:36 | R4 | railroadcar/1_artifice vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[37190/50000] 2026-06-28 17:18:37 | R4 | railroadcar/1_artifice vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[37191/50000] 2026-06-28 17:18:37 | R4 | railroadcar/1_artifice vs square/0_orig → NON-CLONE
[37192/50000] 2026-06-28 17:18:38 | R4 | railroadcar/1_artifice vs square/1_artifice → NON-CLONE
[37193/50000] 2026-06-28 17:18:39 | R4 | railroadcar/1_artifice vs square/test_0_orig_no_krakatau → NON-CLONE
[37194/50000] 2026-06-28 17:18:39 | R4 | railroadcar/1_artifice vs square/test_0_orig_no_procyon → NON-CLONE
[37195/50000] 2026-06-28 17:18:40 | R4 | railroadcar/1_artifice vs square/test_0_orig_pg_krakatau → NON-CLONE
[37196/50000] 2026-06-28 17:18:40 | R4 | railroadcar/1_artifice vs square/test_0_orig_pg_procyon → NON-CLONE
[37197/50000] 2026-06-28 17:18:41 | R4 | railroadcar/1_artifice vs square/test_1_artifice_no_krakatau → NON-CLONE
[37198/50000] 2026-06-28 17:18:42 | R4 | railroadcar/1_artifice vs square/test_1_artifice_no_procyon → NON-CLONE
[37199/50000] 2026-06-28 17:18:42 | R4 | railroadcar/1_artifice vs square/test_1_artifice_pg_krakatau → NON-CLONE
[37200/50000] 2026-06-28 17:18:43 | R4 | railroadcar/1_artifice vs square/test_1_artifice_pg_procyon → NON-CLONE
[37201/50000] 2026-06-28 17:18:43 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/0_orig → NON-CLONE
[37202/50000] 2026-06-28 17:18:44 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/1_artifice → NON-CLONE
[37203/50000] 2026-06-28 17:18:44 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[37204/50000] 2026-06-28 17:18:45 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[37205/50000] 2026-06-28 17:18:45 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[37206/50000] 2026-06-28 17:18:46 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[37207/50000] 2026-06-28 17:18:47 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[37208/50000] 2026-06-28 17:18:47 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[37209/50000] 2026-06-28 17:18:48 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[37210/50000] 2026-06-28 17:18:48 | R4 | railroadcar/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[37211/50000] 2026-06-28 17:18:49 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[37212/50000] 2026-06-28 17:18:49 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[37213/50000] 2026-06-28 17:18:50 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[37214/50000] 2026-06-28 17:18:51 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[37215/50000] 2026-06-28 17:18:51 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[37216/50000] 2026-06-28 17:18:52 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[37217/50000] 2026-06-28 17:18:52 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[37218/50000] 2026-06-28 17:18:53 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[37219/50000] 2026-06-28 17:18:54 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[37220/50000] 2026-06-28 17:18:54 | R4 | railroadcar/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[37221/50000] 2026-06-28 17:18:55 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/0_orig → NON-CLONE
[37222/50000] 2026-06-28 17:18:55 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/1_artifice → NON-CLONE
[37223/50000] 2026-06-28 17:18:56 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[37224/50000] 2026-06-28 17:18:56 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[37225/50000] 2026-06-28 17:18:57 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[37226/50000] 2026-06-28 17:18:58 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[37227/50000] 2026-06-28 17:18:58 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[37228/50000] 2026-06-28 17:18:59 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[37229/50000] 2026-06-28 17:19:00 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[37230/50000] 2026-06-28 17:19:00 | R4 | railroadcar/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[37231/50000] 2026-06-28 17:19:01 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/0_orig → NON-CLONE
[37232/50000] 2026-06-28 17:19:01 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/1_artifice → NON-CLONE
[37233/50000] 2026-06-28 17:19:02 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[37234/50000] 2026-06-28 17:19:02 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[37235/50000] 2026-06-28 17:19:03 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[37236/50000] 2026-06-28 17:19:03 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[37237/50000] 2026-06-28 17:19:04 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[37238/50000] 2026-06-28 17:19:05 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[37239/50000] 2026-06-28 17:19:05 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[37240/50000] 2026-06-28 17:19:06 | R4 | railroadcar/test_0_orig_no_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[37241/50000] 2026-06-28 17:19:06 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/0_orig → NON-CLONE
[37242/50000] 2026-06-28 17:19:07 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/1_artifice → NON-CLONE
[37243/50000] 2026-06-28 17:19:08 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[37244/50000] 2026-06-28 17:19:08 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[37245/50000] 2026-06-28 17:19:09 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[37246/50000] 2026-06-28 17:19:09 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[37247/50000] 2026-06-28 17:19:10 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[37248/50000] 2026-06-28 17:19:11 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[37249/50000] 2026-06-28 17:19:11 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[37250/50000] 2026-06-28 17:19:12 | R4 | railroadcar/test_0_orig_no_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[37251/50000] 2026-06-28 17:19:12 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/0_orig → NON-CLONE
[37252/50000] 2026-06-28 17:19:13 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/1_artifice → NON-CLONE
[37253/50000] 2026-06-28 17:19:13 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[37254/50000] 2026-06-28 17:19:14 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[37255/50000] 2026-06-28 17:19:15 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[37256/50000] 2026-06-28 17:19:15 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[37257/50000] 2026-06-28 17:19:16 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[37258/50000] 2026-06-28 17:19:16 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[37259/50000] 2026-06-28 17:19:17 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[37260/50000] 2026-06-28 17:19:17 | R4 | railroadcar/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[37261/50000] 2026-06-28 17:19:18 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/0_orig → NON-CLONE
[37262/50000] 2026-06-28 17:19:18 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/1_artifice → NON-CLONE
[37263/50000] 2026-06-28 17:19:19 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[37264/50000] 2026-06-28 17:19:19 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[37265/50000] 2026-06-28 17:19:20 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[37266/50000] 2026-06-28 17:19:20 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[37267/50000] 2026-06-28 17:19:21 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[37268/50000] 2026-06-28 17:19:21 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[37269/50000] 2026-06-28 17:19:22 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[37270/50000] 2026-06-28 17:19:22 | R4 | railroadcar/test_0_orig_no_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[37271/50000] 2026-06-28 17:19:23 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/0_orig → CLONE
[37272/50000] 2026-06-28 17:19:23 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/1_artifice → CLONE
[37273/50000] 2026-06-28 17:19:24 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_0_orig_no_krakatau → CLONE
[37274/50000] 2026-06-28 17:19:25 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_0_orig_no_procyon → CLONE
[37275/50000] 2026-06-28 17:19:25 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_0_orig_pg_krakatau → CLONE
[37276/50000] 2026-06-28 17:19:26 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_0_orig_pg_procyon → CLONE
[37277/50000] 2026-06-28 17:19:27 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_no_krakatau → CLONE
[37278/50000] 2026-06-28 17:19:27 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_no_procyon → CLONE
[37279/50000] 2026-06-28 17:19:28 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_pg_krakatau → CLONE
[37280/50000] 2026-06-28 17:19:28 | R4 | railroadcar/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_pg_procyon → CLONE
[37281/50000] 2026-06-28 17:19:29 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/0_orig → NON-CLONE
[37282/50000] 2026-06-28 17:19:30 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/1_artifice → NON-CLONE
[37283/50000] 2026-06-28 17:19:30 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[37284/50000] 2026-06-28 17:19:31 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[37285/50000] 2026-06-28 17:19:32 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[37286/50000] 2026-06-28 17:19:32 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[37287/50000] 2026-06-28 17:19:33 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[37288/50000] 2026-06-28 17:19:33 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[37289/50000] 2026-06-28 17:19:34 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[37290/50000] 2026-06-28 17:19:34 | R4 | railroadcar/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[37291/50000] 2026-06-28 17:19:35 | R4 | railroadcar/test_0_orig_no_krakatau vs square/0_orig → NON-CLONE
[37292/50000] 2026-06-28 17:19:35 | R4 | railroadcar/test_0_orig_no_krakatau vs square/1_artifice → NON-CLONE
[37293/50000] 2026-06-28 17:19:36 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[37294/50000] 2026-06-28 17:19:37 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[37295/50000] 2026-06-28 17:19:37 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[37296/50000] 2026-06-28 17:19:38 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[37297/50000] 2026-06-28 17:19:39 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[37298/50000] 2026-06-28 17:19:39 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[37299/50000] 2026-06-28 17:19:40 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[37300/50000] 2026-06-28 17:19:40 | R4 | railroadcar/test_0_orig_no_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[37301/50000] 2026-06-28 17:19:41 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/0_orig → NON-CLONE
[37302/50000] 2026-06-28 17:19:42 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/1_artifice → NON-CLONE
[37303/50000] 2026-06-28 17:19:42 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[37304/50000] 2026-06-28 17:19:43 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[37305/50000] 2026-06-28 17:19:43 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[37306/50000] 2026-06-28 17:19:44 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[37307/50000] 2026-06-28 17:19:44 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[37308/50000] 2026-06-28 17:19:45 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[37309/50000] 2026-06-28 17:19:45 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[37310/50000] 2026-06-28 17:19:46 | R4 | railroadcar/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[37311/50000] 2026-06-28 17:19:46 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[37312/50000] 2026-06-28 17:19:47 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[37313/50000] 2026-06-28 17:19:48 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[37314/50000] 2026-06-28 17:19:48 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[37315/50000] 2026-06-28 17:19:49 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[37316/50000] 2026-06-28 17:19:50 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[37317/50000] 2026-06-28 17:19:50 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[37318/50000] 2026-06-28 17:19:51 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[37319/50000] 2026-06-28 17:19:51 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[37320/50000] 2026-06-28 17:19:52 | R4 | railroadcar/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[37321/50000] 2026-06-28 17:19:52 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/0_orig → NON-CLONE
[37322/50000] 2026-06-28 17:19:53 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/1_artifice → NON-CLONE
[37323/50000] 2026-06-28 17:19:54 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[37324/50000] 2026-06-28 17:19:54 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[37325/50000] 2026-06-28 17:19:55 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[37326/50000] 2026-06-28 17:19:55 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[37327/50000] 2026-06-28 17:19:56 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[37328/50000] 2026-06-28 17:19:56 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[37329/50000] 2026-06-28 17:19:57 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[37330/50000] 2026-06-28 17:19:58 | R4 | railroadcar/test_0_orig_no_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[37331/50000] 2026-06-28 17:19:58 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/0_orig → NON-CLONE
[37332/50000] 2026-06-28 17:19:59 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/1_artifice → NON-CLONE
[37333/50000] 2026-06-28 17:19:59 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[37334/50000] 2026-06-28 17:20:00 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[37335/50000] 2026-06-28 17:20:00 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[37336/50000] 2026-06-28 17:20:01 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[37337/50000] 2026-06-28 17:20:02 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[37338/50000] 2026-06-28 17:20:02 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[37339/50000] 2026-06-28 17:20:03 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
